Date,Subah,Sunrise,Luhar,Asr,Magrib,Isha
January,,,,,,
01 – 03,05:03,,12:15,03:35,06:05,07:20
04 – 06,05:05,,12:17,03:37,06:07,07:22
07 – 08,05:06,,12:18,03:38,06:08,07:23
09 – 10,05:07,,12:19,03:39,06:09,07:24
11 – 12,05:08,,12:20,03:40,06:10,07:25
13 – 15,05:09,,12:20,03:41,06:11,07:26
16 – 17,05:10,,12:22,03:43,06:13,07:27
18 – 20,05:11,,12:22,03:43,06:14,07:28
21 – 25,05:12,,12:23,03:44,06:15,07:29
26 – 29,05:12,,12:24,03:46,06:17,07:30
30 – 31,05:14,,12:25,03:46,06:18,07:31
,,,,,,
February,,,,,,
01 – 06,05:12,,12:26,03:47,06:19,07:31
07 –12,05:12,,12:26,03:47,06:20,07:32
13– 17,05:12,,12:26,03:46,06:21,07:32
18 –24,05:12,,12:26,03:46,06:21,07:32
25 – 29,05:10,,12:25,03:44,06:22,07:32
,,,,,,
March,,,,,,
01 – 04,05:09,,12:24,03:42,06:22,07:32
05 – 09,05:07,,12:23,03:41,06:22,07:32
10 – 13,05:05,,12:22,03:38,06:22,07:32
14 – 18,05:04,,12:21,03:35,06:22,07:31
19 – 2 0,05:02,,12:20,03:33,06:22,07:31
21 – 24,05:00,,12:19,03:31,06:21,07:31
25 – 27,04:58,,12:18,03:28,06:21,07:31
28 – 30,04:57,,12:17,03:25,06:21,07:30
31,04:55,,12:16,03:22,06:20,07:30
,,,,,,
April,,,,,,
01 – 02,04:53,,12:16,03:22,06:21,07:31
03 – 05,04:52,,12:15,03:20,06:21,07:31
06 – 11,04:50,,12:14,03:17,06:20,07:31
12 – 14,04:48,,12:13,03:18,06:20,07:31
15 – 18,04:46,,12:12,03:20,06:20,07:31
19 – 24,04:44,,12:11,03:22,06:20,07:31
25 – 29,04:41,,12:10,03:24,06:20,07:31
30,04:39,,12:09,03:26,06:20,07:32
,,,,,,
May,,,,,,
01 – 03,04:37,,12:09,03:27,06:20,07:32
04 – 08,04:36,,12:09,03:28,06:20,07:33
09 – 14,04:34,,12:08,03:29,06:21,07:34
15 – 19,04:33,,12:08,03:31,06:21,07:35
20 – 25,04:32,,12:08,03:33,06:22,07:37
26 – 28,04:31,,12:09,03:35,06:23,07:39
29 – 31,04:31,,12:09,03:37,06:25,07:41
,,,,,,
June,,,,,,
01 – 06,04:30,,12:10,03:39,06:27,07:43
07 – 10,04:29,,12:11,03:41,06:28,07:45
11 – 14,04:29,,12:11,03:42,06:29,07:46
15 – 17,04:30,,12:12,03:42,06:30,07:47
18 – 20,04:30,,12:13,03:43,06:31,07:47
21 – 25,04:31,,12:14,03:44,06:32,07:48
26 – 30,04:32,,12:15,03:45,06:33,07:50
,,,,,,
July,,,,,,
01 – 06,04:33,,12:16,03:45,06:33,07:49
07 –10,04:35,,12:17,03:46,06:34,07:50
11– 18,04:37,,12:17,03:46,06:34,07:50
19 –23,04:39,,12:18,03:45,06:34,07:49
24 – 29,04:40,,12:18,03:44,06:33,07:48
30 -- 31,04:41,,12:18,03:42,06:33,07:46
,,,,,,
August,,,,,,
01 – 04,04:43,,12:18,03:40,06:32,07:45
05 – 09,04:42,,12:18,03:39,06:30,07:44
10 – 14,04:44,,12:17,03:36,06:28,07:41
15 – 19,04:45,,12:16,03:32,06:27,07:39
20 – 23,04:45,,12:15,03:29,06:25,07:37
24 – 26,04:45,,12:14,03:26,06:23,07:35
27 – 29,04:46,,12:13,03:23,06:22,07:33
30 -- 31,04:46,,12:13,03:20,06:20,07:31
,,,,,,
September,,,,,,
1,04:49,,12:12,03:17,06:19,07:30
02 – 04,04:49,,12:12,03:17,06:19,07:29
05 – 08,04:49,,12:11,03:14,06:17,07:28
09 – 11,04:48,,12:09,03:14,06:15,07:26
12 – 14,04:48,,12:08,03:15,06:14,07:24
15 – 17,04:47,,12:07,03:15,06:12,07:22
18 – 22,04:47,,12:06,03:16,06:10,07:20
23 – 26,04:46,,12:04,03:17,06:08,07:18
27 – 30,04:46,,12:03,03:17,06:06,07:15
,,,,,,
October,,,,,,
01 – 02,04:44,,12:02,03:16,06:03,07:12
03 – 06,04:43,,12:01,03:16,06:01,07:11
07 – 08,04:42,,12:00,03:16,05:59,07:09
09 – 13,04:42,,11:59,03:16,05:58,07:08
14 – 16,04:41,,11:58,03:16,05:56,07:06
17 – 22,04:41,,11:57,03:16,05:55,07:05
22 – 31,04:41,,11:56,03:17,05:53,07:04
,,,,,,
November,,,,,,
01 – 07,04:43,,11:56,03:16,05:50,07:02
08 –15,04:43,,11:56,03:17,05:49,07:01
16 – 21,04:44,,11:57,03:18,05:49,07:02
22 –24,04:45,,11:58,03:19,05:50,07:03
25 – 27,04:47,,11:59,03:20,05:50,07:04
28 – 30,04:47,,12:00,03:21,05:51,07:05
,,,,,,
December,,,,,,
01 – 03,04:49,,12:01,03:22,05:52,07:06
04 – 06,04:50,,12:02,03:23,05:53,07:07
07 – 09,04:41,,12:04,03:24,05:54,07:08
10 – 11,04:52,,12:05,03:25,05:55,07:10
12 – 14,04:53,,12:06,03:27,05:56,07:11
15 – 16,04:55,,12:07,03:28,05:57,07:13
17 – 18,04:56,,12:08,03:29,05:58,07:13
19 – 20,04:56,,12:09,03:29,05:59,07:14
21,04:58,,12:10,03:31,06:00,07:15
22 – 25,04:58,,12:11,03:31,06:01,07:16
26 – 27,04:59,,12:13,03:32,06:02,07:17
28 – 29,05:01,,12:14,03:34,06:03,07:18
30 – 31,05:02,,12:15,03:35,06:04,07:19